
CatName         CatSlug SubName                            IssueId IssueName                          Price
Oven                    Built-in Oven                          147 Not Sure / Others                    299
Oven                    Built-in Oven                          150 Door Not Opening/Closing             299
Oven                    Built-in Oven                          153 Not Heating                          299
Oven                    Built-in Oven                          155 Noise Issue                          299
Oven                    Built-in Oven                          158 Temperature Issues (Less / More)     299
Oven                    Built-in Oven                          160 Spin Issue / Not Rotating            299
Oven                    Built-in Oven                          163 Button / Touch Panel Issue           299
Oven                    Built-in Oven                          166 Sparking Issues                      299
Oven                    Built-in Oven                          168 Displaying Error Code                299
Oven                    Built-in Oven                          171 Main Light / MCB Tripping            299
Oven                    Built-in Oven                          174 Heating Element/Coil Issue           299
Oven                    Built-in Oven                          177 Burning Smell/Smoke                  299
Water Purifier          Commercial / Plant Water Purifiers     179 Not Sure / Others                    199
Water Purifier          Commercial / Plant Water Purifiers     181 RO Filters Change                    199
Water Purifier          Commercial / Plant Water Purifiers     183 Water Not Draining                   199
Water Purifier          Commercial / Plant Water Purifiers     185 Not Working / Power Issues           199
Water Purifier          Commercial / Plant Water Purifiers     187 Installation                         199
Water Purifier          Commercial / Plant Water Purifiers     189 Un-Installation                      199
Water Purifier          Commercial / Plant Water Purifiers     191 Water Leaking                        199
Water Purifier          Commercial / Plant Water Purifiers     193 Bad / Foul Taste in Water            199
Water Purifier          Commercial / Plant Water Purifiers     195 Smelling Water                       199
Water Purifier          Commercial / Plant Water Purifiers     197 Displaying Error Code                199
Water Purifier          Commercial / Plant Water Purifiers     199 No Water / Not Filtering             199
Water Purifier          Commercial / Plant Water Purifiers     201 Less Water / Long Filteration Time   199
Water Purifier          Domestic / RO Water Purifier           178 Not Sure / Others                    199
Water Purifier          Domestic / RO Water Purifier           180 Filters Change                       199
Water Purifier          Domestic / RO Water Purifier           182 Water Not Draining                   199
Water Purifier          Domestic / RO Water Purifier           184 Not Working / Power Issues           199
Water Purifier          Domestic / RO Water Purifier           186 Installation                         199
Water Purifier          Domestic / RO Water Purifier           188 Un-Installation                      199
Water Purifier          Domestic / RO Water Purifier           190 Water Leaking                        199
Water Purifier          Domestic / RO Water Purifier           192 Bad / Foul Taste in Water            199
Water Purifier          Domestic / RO Water Purifier           194 Smelling Water                       199
Water Purifier          Domestic / RO Water Purifier           196 Displaying Error Code                199
Water Purifier          Domestic / RO Water Purifier           198 No Water / Not Filtering             199
Water Purifier          Domestic / RO Water Purifier           200 Less Water / Long Filteration Time   199
HOB Top Stoves          In-Built Hobs                          202 Not Sure / Others                    199
HOB Top Stoves          In-Built Hobs                          203 Not Working                          199
HOB Top Stoves          In-Built Hobs                          204 Flame Issues Less / More             199
HOB Top Stoves          In-Built Hobs                          205 Auto Ignition Not Working            199
HOB Top Stoves          In-Built Hobs                          206 Gas Leaking Smell/Sound              199
HOB Top Stoves          In-Built Hobs                          207 Burner Issues                        199
HOB Top Stoves          In-Built Hobs                          208 Button/Knob Not Issues               199
HOB Top Stoves          In-Built Hobs                          209 Broken Inlet Valve                   199



